,slope_ven_blast,slope_aza_blast,Xl1,p1
3841,3.5898703057422265,4.285714286734693,1.0791949810520698,0.5197729510636362
1666,0.019011198100923013,0.0211969561041258,0.041894196252980256,0.3382874538979815
4098,4.718357161347292e-06,4.285714286734693,0.8334077333399024,0.40907490049786166
8322,0.00390702533952092,0.0017559327329438725,0.000507220486835743,1.7291975198850314e-06
3717,0.0013828507083127471,0.007411332139704674,6.6666666777777746,0.010573207511895154
7687,4.158423241776246,0.01630570877950374,2.9961405526459483e-06,1.3807380442154595e-06
3339,0.8550168950802015,4.285714286734692,0.00010087450706237936,0.04048733866624152
8205,0.0031994570518723148,0.04851023384042644,6.6251219826262,0.011823350052298124
9102,4.285714286734693,0.24966639733967305,6.6666666777777746,0.023572895670529295
9357,0.019011198100923013,0.0211969561041258,0.041894196252980256,0.3382874538979815
6416,4.222952538352001,1.1706178068060042e-06,0.0011242167133826816,1.8191021142377822e-06
3347,0.0004404163272106748,0.031456488685824825,0.02206548315032461,0.6666666677777775
6804,0.3998319319289664,0.00036193390610431413,5.319099116144811e-06,0.0010345935118091626
8725,8.912462518600107e-06,3.8262428433389334e-07,6.6666666777777746,0.009891202216512582
9109,0.0026510348715508532,4.285714286734693,6.6666666777777746,0.6666666677777767
8216,0.14442398953024282,0.016125025198840435,0.01644562258645881,9.508433095556449e-07
5276,4.126811290864425,0.010129865435155557,0.00011779579342575811,0.6666666677777775
3101,4.281270623743988,1.1770108721715832e-05,6.127597514775261,0.25434482586046303
3360,4.285714286734692,3.349634910873574e-05,0.018496510058416248,0.0002296730702050499
2467,2.3558450388660797,5.044390810710912e-08,1.763462751468918e-07,0.011811352802317114
4132,0.0008957567029223184,0.0009619473817148843,0.35569978675901015,1.7931430863379433e-07
5157,4.285714286734693,4.279509002694321,0.00019249392712031074,0.6666666677777783
3110,8.617629851578035e-07,4.285714286734693,0.0007554919007686858,1.5866188961546076e-08
8103,0.0008800345376023574,0.9297753019959818,0.07356053494244895,0.6663940146893688
5161,4.285714286734693,4.285714286734692,6.6666666777777746,0.0017254279902011002
3114,0.030124107183750106,0.045501040307321806,0.7114589851794934,4.369760565852815e-07
8106,5.0335742593918795e-08,1.0535015073279494e-05,0.009614625397938661,0.0005953023320737048
3500,4.121039287674537,3.4061040564317606,4.7091351269658435e-05,3.0456924279803247e-06
3631,0.003180270747481291,4.285714286734696,6.6666666777777674,0.0012604490930024658
6450,0.003816842812413004,2.7435301329100827,0.8353126494788189,3.204486347703612e-05
6067,4.285714286734693,2.089387340088532,1.283749328617435,0.004683412799989198
8242,4.0999972097072614,4.285714286734692,3.290007364099548e-05,0.025381670309587965
2101,2.1236715850661527,4.6427733298395375e-05,0.34522909740090507,0.6656481772416905
3895,0.02326354879563696,0.010489502922056543,0.0072597975440105815,0.6666666677777775
2104,6.760076804003415e-05,1.948337987449876,2.2361140372891586e-05,6.3862638356354e-07
2105,1.0080776894481683e-05,1.1358106728951215e-07,1.5028391268461232,0.571096845242039
1978,0.01499926726279327,0.017398798424620658,0.0006800488378909193,0.04950928002232741
6074,3.8578226925933228,4.285714286734693,0.9583894725576085,0.6666666677777783
9145,0.8028240844330176,0.2469651079264984,0.14883631433129677,0.06689406725258021
2111,0.8337840822316538,2.08018107025667e-07,0.00021835748709865,0.00010950911690004417
5568,4.285714286734693,1.7696155859849565,6.6666666777777746,1.4237273778314606e-06
3266,4.285714286734693,4.285714286734693,6.467816699895659,0.6666666677777775
3652,0.002844724394451596,0.0001147160546166961,0.0019600219115114294,0.0026804862541210607
2886,0.04607146643347693,0.0002820410218065941,0.059654417832517764,0.01844622243057023
4935,0.0017009218966716486,0.6999613032054751,0.07100929532296853,0.0043154321312552455
6086,3.5800185849709596,4.285714286734696,0.004264474742506824,3.0932937261301375e-05
1100,4.285714286734693,0.004651664122517313,0.008639448942390661,0.6666666677777775
8013,4.285714286734693,0.00040571165778840757,9.999999899999983e-08,0.3273970591751884
4046,0.8080886746400375,0.8830816832621919,4.588646259878705e-05,0.6666666677777775
6735,0.13028063327572764,1.147950531847501e-06,0.10143626667967331,0.01974342852005505
9553,1.5358446505315038,2.489391796137314,0.00030891825749924175,0.001028766144655882
4181,1.1402259625523836,1.1428910043383174,0.04061728816953787,0.10428088900928237
8917,4.060659205026976,4.282170996733331,1.4892106491554702,0.6666538510016409
8793,2.564972089047465e-06,0.0002754294945998785,2.079579495127218e-07,5.598294044092005e-05
7643,1.0782180978051211e-05,4.095106409959869,5.744843165391244e-05,0.35612230426438524
7773,0.0001444548434394961,4.285714286734693,3.321577241024242e-06,0.4865396104900805
9823,0.001088060931347074,4.285714286734693,6.6666666777777674,0.00031189788870984443
7908,4.285714286734693,2.940136147405141,6.6666666777777746,1.656306158878873e-08
4838,0.050591334983358674,2.3100544369728093e-06,6.6666666777777825,0.48191516996718675
5478,1.4629896896097625,4.248555681358504,0.05589316189271948,0.06078084163266766
6374,4.285714286734696,0.028677235586116658,1.2718312893311858e-06,0.6666666677777775
7402,0.0016167567308381463,1.3403842241445469e-06,0.34917573377526345,0.5122730340338285
3947,0.02555095299418712,4.285714286734693,6.6666666777777746,0.08305053364711404
2927,2.188137263716294,4.285714286734693,0.0006953610762300347,0.6666666677777775
1393,0.007812750545932213,4.285714286734693,0.00016550549367039708,0.0004033313555806477
5874,4.285714286734693,4.285714286734693,0.0037903568460287045,8.344261468687433e-08
7537,0.010937309360811793,0.003624165221780407,0.4886788342576003,0.641566739213209
3447,5.22696402313225e-05,4.204611668578295,6.392655742926703,0.6128848511926555
9851,5.018442653761793e-08,9.029828375614395e-06,0.400531123407303,0.24240441279775843
6780,0.01185738260683235,0.06854300548985853,0.0008753639466706291,0.33876910085128004
8574,4.285714286734693,4.285714286734693,0.0001890016264817219,1.915787520769211e-05
